,labels_test,an_prediction,predicted_perplex
0,False,False,1.0028145
1,False,False,1.0028145
2,True,True,676.98987
3,False,True,375.5713
4,False,True,518.0153
5,True,True,43.533707
6,False,False,1.0016251
7,False,True,1.0064138
8,True,True,322.21307
9,False,True,454.14096
10,False,True,456.2975
11,False,True,435.9635
12,False,True,444.0978
13,False,True,451.96347
14,False,True,445.40863
15,False,True,441.9523
16,False,True,469.2224
17,False,True,456.8489
18,False,True,460.5672
19,False,True,453.61002
20,False,True,424.00974
21,False,True,566.8652
22,False,True,478.50827
23,False,True,520.38007
24,False,True,1.0073597
25,False,True,1.026059
26,True,True,457.1529
27,False,True,446.0979
28,False,True,391.1074
29,False,True,331.0609
30,False,True,423.82
31,True,True,429.9115
32,False,True,455.39224
33,False,True,437.9266
34,False,True,450.60822
35,False,True,337.6639
36,False,False,1.0000001
37,False,False,1.0000001
38,False,False,1.0000001
39,False,False,1.0000004
40,False,False,1.0000004
41,False,False,1.0000153
42,False,False,1.0015832
43,False,False,1.0015832
44,False,True,335.1478
45,False,True,438.01498
46,False,True,439.56226
47,True,True,458.37802
48,False,True,429.3791
49,False,True,460.7772
50,False,True,428.0579
51,False,True,441.82956
52,False,True,454.41522
53,False,True,451.76285
54,False,True,451.98108
55,False,True,451.8054
56,False,True,441.81952
57,False,True,442.23355
58,False,True,449.7609
59,False,True,448.00363
60,False,True,448.46558
61,False,True,447.0346
62,False,True,424.56625
63,False,True,435.62326
64,False,True,466.368
65,False,True,443.92923
66,False,True,480.41757
67,False,True,445.57184
68,False,True,424.34308
69,False,True,445.43475
70,False,True,435.62326
71,True,True,448.2493
72,True,True,453.73904
73,False,True,436.66196
74,False,True,454.67172
75,False,True,431.4445
76,False,True,431.4445
77,True,True,490.97787
78,False,False,1.0027722
79,False,False,1.0027722
80,False,True,1552.3273
81,False,False,1.0001043
82,False,False,1.0001041
83,False,True,461.9319
84,False,True,450.42062
85,False,True,450.42062
86,False,True,593.7676
87,False,False,1.0008875
88,False,False,1.0028145
89,False,False,1.0011616
90,False,False,1.0000181
91,False,False,1.0000181
92,True,True,582.06934
93,False,True,440.24414
94,False,True,440.24414
95,False,True,462.90146
96,False,True,451.20676
97,False,True,442.76746
98,False,True,438.26117
99,False,True,450.5947
100,False,True,450.5947
101,False,True,438.31787
102,False,True,453.7626
103,False,True,450.78467
104,False,True,388.40222
105,False,True,1.005879
106,True,True,14.097077
107,False,True,1.0149393
108,False,False,1.0021571
109,False,True,439.29736
110,False,True,451.44272
111,False,False,1.0000001
112,False,False,1.0000194
113,False,False,1.0015832
114,False,False,1.0015832
115,False,False,1.0015832
116,True,True,484.69736
117,False,False,1.0000343
118,False,False,1.0004662
119,False,True,1.0347862
120,False,False,1.002108
121,True,False,1.0033361
122,False,True,1.0088215
123,False,False,1.0013832
124,True,True,536.6516
125,True,True,442.5097
126,True,True,453.75262
127,False,True,448.46558
128,False,True,466.7614
129,True,True,467.58722
130,True,True,452.4439
131,False,True,439.88712
132,False,True,442.58383
133,True,True,961.7611
134,False,False,1.0000314
135,False,False,1.0013996
136,False,True,1.0547416
137,True,True,953.2349
138,False,False,1.0005741
139,False,False,1.0011926
140,False,False,1.0014857
141,False,False,1.0014857
142,False,False,1.0027435
143,True,True,2162.1294
144,False,False,1.0003389
145,True,True,373.47092
146,False,True,421.7492
147,False,True,440.26065
148,False,True,458.81857
149,False,True,469.74362
150,False,False,1.0000874
151,False,False,1.0000874
152,False,True,457.91284
153,True,True,423.4613
154,False,True,455.43387
155,False,True,457.1794
156,False,True,442.30072
157,False,True,464.67465
158,False,True,447.29315
159,False,True,441.68365
160,False,True,451.4324
161,True,True,481.48914
162,False,True,1.0982786
163,False,True,1.0204574
164,True,True,514.9875
165,False,True,520.231
166,True,True,234.05011
167,False,False,1.0016259
168,False,True,1.0127099
169,False,False,1.0039026
170,False,False,1.0001067
171,False,False,1.0001038
172,False,False,1.0001038
173,False,True,521.8992
174,False,True,445.7962
175,False,True,440.54163
176,False,True,463.25684
177,False,True,440.89932
178,False,True,417.91354
179,False,True,442.6737
180,False,True,442.73227
181,False,True,463.98355
182,False,True,458.2692
183,False,True,435.29794
184,False,True,444.09402
185,True,True,475.9427
186,False,True,479.48383
187,False,True,431.86548
188,True,True,457.06
189,False,True,449.59338
190,False,True,443.0724
191,False,True,471.61078
192,False,True,442.69055
193,False,True,434.0998
194,False,True,442.18265
195,False,True,443.0724
196,False,True,454.31433
197,False,True,453.00305
198,False,True,432.1106
199,False,True,400.56613
200,False,True,445.65308
201,False,True,428.10126
202,False,True,428.10126
203,False,True,457.15112
204,False,True,479.48383
205,False,True,431.86548
206,False,True,444.77872
207,False,True,417.79227
208,False,False,1.0032481
209,False,False,1.0025493
210,False,True,1.0186074
211,False,False,1.0030155
212,False,True,1.0063764
213,False,True,485.5781
214,False,True,417.79227
215,True,True,538.3997
216,False,True,432.65555
217,False,True,436.05618
218,False,True,438.07355
219,False,True,437.55283
220,False,True,448.6941
221,False,True,462.9308
222,False,True,444.33975
223,False,True,438.4265
224,False,True,539.3112
225,False,True,497.81732
226,False,True,371.75366
227,False,True,1.0654964
228,False,False,1.0005331
229,False,False,1.0000031
230,True,True,462.78787
231,False,True,435.39844
232,False,True,439.41342
233,True,True,440.97995
234,False,True,366.37866
235,False,False,1.0027618
236,False,True,487.1688
237,False,True,445.5579
238,True,True,420.48975
239,False,True,446.08795
240,False,True,412.2588
241,False,True,563.2542
242,False,True,449.22598
243,False,True,435.02057
244,False,True,435.02057
245,False,True,480.68286
246,False,True,563.2542
247,True,True,461.54346
248,False,True,449.22598
249,False,True,435.02057
250,False,True,504.7299
251,True,True,610.52576
252,False,True,458.77643
253,True,True,428.22427
254,False,False,1.000254
255,False,True,1.0077084
256,False,False,1.0019648
257,False,True,95.77078
258,False,True,1.0245754
259,False,True,483.49396
260,True,True,437.02982
261,False,False,1.0033132
262,False,False,1.002058
263,False,True,474.4201
264,False,True,477.83478
265,False,True,707.8838
266,False,True,1.0114963
267,False,False,1.0000138
268,False,False,1.0000138
269,False,True,8.8111515
270,False,False,1.0038141
271,False,False,1.0000218
272,True,False,1.0015954
273,False,False,1.0000082
274,False,False,1.0000082
275,True,True,626.3885
276,False,True,439.5679
277,False,True,438.12292
278,False,True,437.84897
279,False,True,434.73898
280,True,True,472.77637
281,True,True,432.1896
282,False,True,456.4519
283,False,True,439.6729
284,False,True,456.4519
285,False,True,439.6729
286,False,True,456.4519
287,False,True,454.69318
288,True,True,457.07782
289,False,True,444.36154
290,False,True,449.73883
291,False,True,455.6586
292,True,True,449.94553
293,False,True,441.56628
294,False,True,432.98294
295,False,True,432.98294
296,False,True,448.42395
297,False,True,453.63477
298,False,True,447.54437
299,False,True,480.09543
300,False,True,446.08557
301,False,True,444.25525
302,True,True,439.49286
303,False,True,441.40936
304,False,True,423.535
305,False,True,447.41998
306,False,True,445.65094
307,False,True,427.61212
308,False,True,434.52188
309,False,True,454.65356
310,False,True,437.087
311,False,True,448.23898
312,False,True,457.74924
313,True,True,431.83386
314,False,True,452.22183
315,False,True,448.32877
316,True,True,448.32877
317,False,True,428.62277
318,False,True,447.7903
319,False,True,434.00745
320,True,True,460.74146
321,False,True,477.8559
322,False,True,452.30502
323,False,True,455.82104
324,False,True,471.4003
325,False,True,430.38422
326,False,True,448.64392
327,False,True,429.22937
328,False,True,435.35977
329,False,True,450.9876
330,True,True,455.76245
331,False,True,467.30954
332,False,True,456.07526
333,False,True,450.46204
334,False,True,453.1007
335,False,True,467.3683
336,False,True,441.96158
337,False,True,530.5075
338,False,True,453.92477
339,False,True,392.3533
340,False,False,1.0028898
341,True,True,47340.777
342,False,False,1.0008297
343,False,False,1.0000992
344,False,True,1.0051061
345,False,False,1.0000411
346,False,False,1.0008528
347,False,True,10.251724
348,True,True,1844.5842
349,False,False,1.0007643
350,False,False,1.0005778
351,False,False,1.0008276
352,False,False,1.0009755
353,False,True,432.37158
354,False,True,429.3979
355,False,True,459.6834
356,False,True,435.09796
357,False,True,439.59512
358,False,True,449.85608
359,False,True,427.80685
360,True,True,462.87592
361,False,False,1.0016755
362,False,False,1.0002165
363,False,False,1.0000173
364,False,False,1.0000173
365,True,True,534.5661
366,False,True,435.52002
367,False,True,455.23373
368,False,True,420.27356
369,True,True,435.58017
370,False,True,420.7871
371,False,True,438.52356
372,False,True,447.92673
373,False,True,477.749
374,False,True,469.0226
375,False,True,420.3928
376,False,True,432.553
377,False,True,422.44998
378,False,True,428.4672
379,False,True,450.50296
380,True,True,438.71384
381,False,True,449.32242
382,False,True,438.2034
383,False,True,450.80673
384,False,True,450.80673
385,False,True,450.80673
386,False,True,427.1049
387,False,True,440.43036
388,False,True,433.29556
389,False,True,467.11023
390,False,True,465.65887
391,False,True,434.11444
392,False,True,432.12994
393,False,True,434.82587
394,False,True,441.48602
395,False,True,445.6855
396,False,True,445.7156
397,True,True,393.76117
398,False,True,337.07318
399,False,True,445.78708
400,True,True,440.31497
401,False,True,440.93164
402,False,True,466.56018
403,False,True,449.45367
404,True,True,433.70694
405,False,True,469.37872
406,True,True,452.88303
407,False,True,432.31067
408,False,True,439.76706
409,False,True,458.50977
410,False,True,341.52304
411,False,False,1.0012668
412,False,False,1.0008676
413,False,False,1.0016259
414,False,False,1.0002968
415,False,False,1.0000225
416,False,True,547.78894
417,False,True,441.2878
418,False,True,452.4641
419,False,True,452.4641
420,False,True,452.4641
421,False,True,452.4641
422,False,True,460.90967
423,False,True,1.0236665
424,False,False,1.0012344
425,False,True,410.60178
426,False,True,447.43
427,False,True,447.43
428,False,True,397.81778
429,False,True,1.0186101
430,True,True,687.2702
431,True,True,515.6246
432,False,True,517.6782
433,False,True,344.41205
434,False,True,288.8423
435,False,True,358.85483
436,False,True,436.44138
437,True,True,447.5631
438,False,True,455.56976
439,False,True,455.56976
440,True,True,439.0684
441,False,True,455.71396
442,False,True,455.71396
443,False,True,429.7571
444,False,True,450.158
445,True,True,420.7587
446,False,False,1.0001489
447,False,True,428.15076
448,False,True,448.10635
449,False,True,434.7653
450,False,True,455.71396
451,False,True,455.71396
452,False,True,445.99112
453,False,True,467.3676
454,False,True,446.47287
455,False,True,426.9073
456,False,True,443.0481
457,False,True,453.4794
458,False,True,455.87247
459,False,True,462.6091
460,False,True,436.28754
461,True,True,416.06482
462,False,False,1.002058
463,True,True,553.73645
464,False,True,433.06366
465,False,True,428.59906
466,False,True,438.04062
467,False,True,413.5809
468,False,True,1.0090251
469,False,True,466.6197
470,True,True,555.8797
471,False,True,1.006766
472,False,True,1.0416214
473,False,True,479.86932
474,False,True,468.7063
475,False,True,551.67
