,test_perplex,labels_test,an_prediction,predicted_perplex
0,1.7999999999999998,False,False,1.3329653
1,9.0,False,False,1.400863
2,1.2,False,False,1.1908991
3,1.2,False,False,1.1908991
4,1.2,False,False,1.1908991
5,6.0,False,False,1.6173795
6,3.0,False,False,1.375371
7,4.0,False,False,1.421053
8,4.0,False,False,1.421053
9,4.0,False,False,1.421053
10,2.6666666666666665,False,False,1.5089087
11,2.0,False,False,1.6572483
12,2.6666666666666665,False,False,1.5089087
13,2.0,False,False,1.6572483
14,2.6666666666666665,False,False,1.4841131
15,3.0,False,False,1.375371
16,4.0,False,False,1.421053
17,4.0,False,False,1.421053
18,2.6666666666666665,False,False,1.4841131
19,9.0,False,False,1.400863
20,6.0,False,False,1.6173795
21,3.0,False,False,1.375371
22,2.6666666666666665,False,False,1.4841131
23,1.7999999999999998,False,False,1.3329653
24,3.0,False,False,1.375371
25,2.6666666666666665,False,False,1.4841131
26,3.0,False,False,1.375371
27,2.6666666666666665,False,False,1.4841131
28,1.7999999999999998,False,False,1.3329653
29,1.7999999999999998,False,False,1.3329653
30,3.0,False,False,1.375371
31,2.6666666666666665,False,False,1.4841131
32,3.0,False,False,1.375371
33,4.0,False,False,1.421053
34,2.6666666666666665,False,False,1.4841131
35,1.7999999999999998,False,False,1.3329653
36,1.7999999999999998,False,False,1.3329653
37,1.7999999999999998,False,False,1.3329653
38,1.7999999999999998,False,False,1.3329653
39,1.7999999999999998,False,False,1.3329653
40,1.7999999999999998,False,False,1.3329653
41,9.0,False,False,1.400863
42,6.0,False,False,1.6173795
43,1.7999999999999998,False,False,1.3329653
44,1.7999999999999998,False,False,1.3329653
45,3.0,False,False,1.375371
46,4.0,False,False,1.421053
47,2.6666666666666665,False,False,1.5089087
48,2.0,False,False,1.6572483
49,2.6666666666666665,False,False,1.4841131
50,1.7999999999999998,False,False,1.3329653
51,1.7999999999999998,False,False,1.3329653
52,1.7999999999999998,False,False,1.3329653
53,9.0,False,False,1.400863
54,1.2,False,False,1.1908991
55,1.2,False,False,1.1908991
56,1.2,False,False,1.1908991
57,1.2,False,False,1.1908991
58,6.0,False,False,1.6173795
59,1.7999999999999998,False,False,1.3329653
60,3.0,False,False,1.375371
61,2.6666666666666665,False,False,1.5089087
62,2.0,False,False,1.6572483
63,2.6666666666666665,False,False,1.4841131
64,1.7999999999999998,False,False,1.3329653
65,1.7999999999999998,False,False,1.3329653
66,inf,True,True,31.078753
67,2.0,False,False,1.3696529
68,2.0,False,False,1.3696529
69,3.0,False,False,1.4351377
70,3.0,False,False,1.3995174
71,3.0,False,False,1.4351377
72,3.0,False,False,1.3995174
73,2.0,False,False,1.3696529
74,2.0,False,False,1.3696529
75,2.0,False,False,1.3696529
76,6.0,False,True,1.7670984
77,1.6,False,False,1.3175379
78,1.6,False,False,1.3175379
79,8.0,False,True,1.8246723
80,2.0,False,False,1.3696529
81,2.0,False,False,1.3696529
82,2.0,False,False,1.3696529
83,2.0,False,False,1.3696529
84,2.0,False,False,1.3696529
85,6.0,False,True,1.7670984
86,4.0,False,False,1.4583223
87,2.3333333333333335,False,False,1.4145817
88,3.5,False,False,1.5145019
89,1.6,False,False,1.3175379
90,4.0,False,False,1.4583223
91,2.3333333333333335,False,False,1.4145817
92,3.5,False,False,1.5145019
93,4.0,False,False,1.4583223
94,2.3333333333333335,False,False,1.4145817
95,2.3333333333333335,False,False,1.4145817
96,2.3333333333333335,False,False,1.4145817
97,2.3333333333333335,False,False,1.4145817
98,2.3333333333333335,False,False,1.4145817
99,3.5,False,False,1.5145019
100,1.6,False,False,1.3175379
101,4.0,False,False,1.4583223
102,3.5,False,False,1.5145019
103,1.6,False,False,1.3175379
104,1.6,True,False,1.3175379
105,4.0,False,False,1.4583223
106,2.3333333333333335,False,False,1.4145817
107,3.5,False,False,1.5909476
108,2.0,False,False,1.6572483
109,2.6666666666666665,False,False,1.4841131
110,1.7999999999999998,False,False,1.3329653
111,1.7999999999999998,False,False,1.3329653
112,1.7999999999999998,False,False,1.3329653
113,9.0,False,False,1.400863
114,1.2,False,False,1.1908991
115,1.2,False,False,1.1908991
116,1.2,False,False,1.1908991
117,6.0,False,False,1.6173795
118,3.0,False,False,1.375371
119,2.6666666666666665,False,False,1.5089087
120,6.0,False,False,1.6517916
121,2.0,False,False,1.6572483
122,2.6666666666666665,False,False,1.4841131
123,1.7999999999999998,False,False,1.3329653
124,9.0,False,False,1.400863
125,1.2,False,False,1.1908991
126,1.2,False,False,1.1908991
127,1.2,False,False,1.1908991
128,6.0,False,False,1.6173795
129,1.7999999999999998,False,False,1.3329653
130,1.7999999999999998,False,False,1.3329653
131,3.0,False,False,1.375371
132,4.0,False,False,1.421053
133,2.6666666666666665,False,False,1.5089087
134,6.0,False,False,1.6517916
135,2.0,False,False,1.6572483
136,4.0,False,False,1.421053
137,2.6666666666666665,False,False,1.5089087
138,3.0,False,False,1.62493
139,3.5,False,False,1.5909476
140,6.0,False,False,1.6517916
141,3.0,False,False,1.62493
142,2.3333333333333335,False,False,1.4145817
143,3.5,False,False,1.5145019
144,8.0,False,True,1.8246723
145,3.0,False,False,1.4351377
146,3.0,False,False,1.3419483
147,3.0,False,False,1.3995174
148,2.0,False,False,1.3696529
149,3.0,False,False,1.4351377
150,inf,True,True,1.7275664
151,3.0,False,False,1.0010641
152,3.0,False,False,1.312083
153,3.0,False,False,1.3419483
154,3.0,False,False,1.3419483
155,3.0,False,False,1.3419483
156,3.0,False,False,1.3777659
157,3.0,False,False,1.312083
158,3.0,False,False,1.3419483
159,3.0,False,False,1.3419483
160,3.0,False,False,1.3995174
161,2.0,False,False,1.3696529
162,2.0,False,False,1.3696529
163,3.0,False,False,1.4351377
164,3.0,False,False,1.3995174
165,3.0,False,False,1.4351377
166,3.0,False,False,1.3995174
167,3.0,False,False,1.4351377
168,3.0,False,False,1.3995174
169,3.0,False,False,1.4351377
170,3.0,False,False,1.3777659
171,6.0,False,False,1.3699887
172,3.0,False,False,1.0010641
173,inf,True,True,46.577324
174,1.7999999999999998,False,False,1.3329653
175,3.0,False,False,1.375371
176,2.6666666666666665,False,False,1.5089087
177,2.0,False,False,1.6572483
178,2.6666666666666665,False,False,1.5089087
179,2.0,False,False,1.6572483
180,2.6666666666666665,False,False,1.4841131
181,1.7999999999999998,False,False,1.3329653
182,1.7999999999999998,False,False,1.3329653
183,1.7999999999999998,False,False,1.3329653
184,1.7999999999999998,False,False,1.3329653
185,1.7999999999999998,False,False,1.3329653
186,1.7999999999999998,False,False,1.3329653
187,1.7999999999999998,False,False,1.3329653
