,labels_test,an_prediction,predicted_perplex
0,False,False,1.1618441
1,True,False,1.1729785
2,False,False,1.2375741
3,True,False,1.0991127
4,False,False,1.001857
5,False,False,1.0631982
6,True,False,1.004743
7,False,False,1.2375741
8,False,False,1.1900773
9,False,False,1.0631982
10,False,False,1.001857
11,True,True,5.665715
12,False,False,1.4366455
13,False,False,1.2683712
14,True,True,1.8793505
15,False,False,1.1618441
16,False,False,1.1729785
17,False,False,1.4632407
18,False,False,1.2116011
19,True,False,1.2522972
20,False,False,1.2445045
21,False,False,1.2242951
22,False,False,1.2445045
23,False,False,1.4040312
24,False,False,1.2556405
25,False,False,1.2351713
26,False,True,2.4266462
27,False,False,1.2053949
28,True,True,2.1274912
29,False,False,1.3376515
30,False,False,1.1091262
31,False,False,1.1287874
32,False,False,1.1287874
33,False,False,1.3375807
34,False,False,1.1904216
35,False,False,1.3542539
36,True,True,1.6064329
37,False,False,1.1287874
38,False,False,1.1287874
39,False,False,1.3375807
40,True,True,1.6765716
41,False,False,1.1780357
42,False,False,1.0726146
43,False,False,1.0726146
44,True,False,1.3052282
45,False,False,1.1821339
46,False,False,1.158876
47,False,False,1.4536877
48,False,False,1.2670751
49,False,False,1.2013342
50,False,False,1.3376515
51,False,False,1.1904216
52,False,False,1.3542539
53,True,True,26.731703
54,False,False,1.1618441
55,False,False,1.2375741
56,False,True,1.6480455
57,False,False,1.2242951
58,False,False,1.2445045
59,False,False,1.2242951
60,False,False,1.2445045
61,False,False,1.2242951
62,False,True,1.8481215
63,False,False,1.2683712
64,False,False,1.1243845
65,False,False,1.1243845
66,False,False,1.1243845
67,False,False,1.2493482
68,False,True,1.883656
69,True,True,2.490221
70,True,True,2.163915
71,False,False,1.2013342
72,False,False,1.2670751
73,True,False,1.1715434
74,False,False,1.2013342
75,False,False,1.4784082
76,False,False,1.292466
77,False,False,1.3376515
78,False,False,1.1904216
79,False,False,1.1821339
80,False,False,1.4536877
81,False,False,1.4784082
82,False,False,1.2284926
83,False,False,1.1949334
84,False,False,1.2493482
85,False,False,1.2888074
86,False,False,1.2683712
87,False,False,1.2493482
88,False,False,1.2888074
89,False,False,1.2683712
90,False,False,1.2493482
91,False,False,1.2888074
92,True,True,1.883656
93,False,False,1.2670751
94,False,False,1.134178
95,False,True,1.7619416
96,False,False,1.2916318
97,False,False,1.2916318
98,False,True,2.2959404
99,False,False,1.2871537
100,False,False,1.2556405
101,False,True,1.6336836
102,False,False,1.2670751
103,False,False,1.2013342
104,False,False,1.4784082
105,False,False,1.198523
106,False,False,1.198523
107,True,False,1.292466
108,False,False,1.2670751
109,False,False,1.134178
110,False,False,1.2053949
111,False,False,1.2053949
112,False,False,1.533377
113,True,True,3.8596466
114,False,False,1.08954
115,False,False,1.08954
116,False,False,1.1949334
117,False,False,1.2493482
118,False,False,1.2888074
119,True,True,1.755463
120,False,False,1.1332601
121,False,False,1.198523
122,False,False,1.3977602
123,False,False,1.1821339
124,False,False,1.1091262
125,True,True,13.951079
126,False,False,1.374679
127,False,False,1.1793717
128,False,False,1.1256431
129,False,False,1.002603
130,False,False,1.001857
